,gender,Status,First_Reviewer,Second_Reviewer,First_Grade,Second_Grade,Target
180,1.0,11 класс,reviewer_9,reviewer_7,27.0,29,28.0
181,1.0,Иное,reviewer_7,reviewer_6,27.0,28,27.5
182,0.0,10 класс,reviewer_5,reviewer_9,22.0,21,21.5
183,1.0,9 класс,reviewer_7,reviewer_9,19.0,21,20.0
184,1.0,Иное,reviewer_2,reviewer_9,30.0,26,28.0
185,0.0,10 класс,reviewer_9,reviewer_5,22.0,22,22.0
186,1.0,Иное,reviewer_4,reviewer_8,25.0,23,24.0
187,1.0,Иное,reviewer_7,reviewer_6,27.0,30,28.5
188,1.0,11 класс,reviewer_9,reviewer_7,27.0,27,27.0
189,1.0,10 класс,reviewer_8,reviewer_5,24.0,25,24.5
190,1.0,Иное,reviewer_3,reviewer_6,20.0,28,24.0
191,1.0,11 класс,reviewer_9,reviewer_7,28.0,27,27.5
192,1.0,11 класс,reviewer_3,reviewer_6,22.0,22,22.0
193,1.0,11 класс,reviewer_7,reviewer_6,19.0,19,19.0
194,0.0,11 класс,reviewer_9,reviewer_6,25.0,25,25.0
195,1.0,Иное,reviewer_8,reviewer_7,25.0,21,23.0
196,1.0,10 класс,reviewer_6,reviewer_8,0.0,7,3.5
197,1.0,10 класс,reviewer_6,reviewer_7,30.0,27,28.5
198,0.0,10 класс,reviewer_7,reviewer_8,26.0,27,26.5
199,1.0,11 класс,reviewer_7,reviewer_6,25.0,25,25.0
200,1.0,11 класс,reviewer_8,reviewer_7,21.0,25,23.0
201,1.0,9 класс,reviewer_5,reviewer_6,27.0,30,28.5
202,1.0,11 класс,reviewer_8,reviewer_2,20.0,20,20.0
203,1.0,11 класс,reviewer_7,reviewer_6,25.0,25,25.0
204,1.0,10 класс,reviewer_8,reviewer_3,20.0,19,19.5
205,1.0,11 класс,reviewer_8,reviewer_7,25.0,27,26.0
206,1.0,9 класс,reviewer_4,reviewer_7,21.0,21,21.0
207,1.0,10 класс,reviewer_2,reviewer_9,17.0,12,14.5
208,0.0,10 класс,reviewer_7,reviewer_5,13.0,19,16.0
209,0.0,10 класс,reviewer_6,reviewer_4,0.0,11,0.0
210,1.0,11 класс,reviewer_6,reviewer_7,25.0,26,25.5
211,1.0,11 класс,reviewer_6,reviewer_4,28.0,27,27.5
212,1.0,11 класс,reviewer_6,reviewer_5,0.0,0,0.0
213,1.0,11 класс,reviewer_7,reviewer_6,4.0,4,4.0
214,1.0,10 класс,reviewer_6,reviewer_7,22.0,23,22.5
215,1.0,11 класс,reviewer_8,reviewer_9,25.0,24,24.5
216,1.0,10 класс,reviewer_7,reviewer_6,23.0,24,23.5
217,1.0,9 класс,reviewer_8,reviewer_7,16.0,20,18.0
218,1.0,11 класс,reviewer_7,reviewer_4,23.0,28,25.5
219,0.0,9 класс,reviewer_7,reviewer_5,21.0,27,24.0
